algorithm,graph_type,graph_structure,dag_edges_directed,dag_edges_undirected,dag_nodes,train_size,repetition,seed,categorical,column_order_strategy,column_order,mean_corr_difference,max_corr_difference,propensity_metrics_avg_pMSE,propensity_metrics_pMSE_err,propensity_metrics_avg_acc,propensity_metrics_acc_err,k_marginal_tvd,mean_mi_difference,max_mi_difference,mean_ks_distance,nnaa
vanilla,,,0,0,0,20,0,42,False,original,"[0, 1, 2, 3]",0.014119627335807919,0.0518747996164719,0.002230008786515008,0.00014416295270269045,0.5359407533450665,0.003920064798047333,0.2823333333333333,0.0002811052829020559,0.0002811052829020559,0.094,0.6025
vanilla,,,0,0,0,20,1,43,False,original,"[0, 1, 2, 3]",0.09319341274347871,0.1628172399204904,0.004055268222170916,0.0002989404860422606,0.5549444182409367,0.006575073322149511,0.2734166666666667,0.0002579614468788758,0.0002579614468788758,0.10037499999999999,0.57575
vanilla,,,0,0,0,20,2,44,False,original,"[0, 1, 2, 3]",0.057495424580460204,0.10489260931527183,0.009959543560807835,0.00041970758756313536,0.5881834653693353,0.008716702605590458,0.29724999999999996,0.00012897190128962266,0.00012897190128962266,0.140875,0.56275
vanilla,,,0,0,0,20,3,45,False,original,"[0, 1, 2, 3]",0.058968305774297354,0.11609763481384788,0.0063577380405054566,0.00031643246795549066,0.5783420744914289,0.004327922211811268,0.3065833333333334,0.0002884162410198865,0.0002884162410198865,0.133,0.573
vanilla,,,0,0,0,20,4,46,False,original,"[0, 1, 2, 3]",0.02143944765254896,0.04481287952946311,0.0036922220915662557,0.00036877261788404245,0.5586736117425561,0.008490192941335182,0.23666666666666666,0.00035908377658044655,0.00035908377658044655,0.053875,0.5595
vanilla,,,0,0,0,20,5,47,False,original,"[0, 1, 2, 3]",0.23569890399936747,0.4674979730343203,0.0051069700699258895,0.0005603243852044449,0.5521209011602932,0.008077025217593304,0.27566666666666667,0.0002811052829020559,0.0002811052829020559,0.08900000000000001,0.558
vanilla,,,0,0,0,20,6,48,False,original,"[0, 1, 2, 3]",0.10636817875356776,0.18846477059986433,0.011645062148942325,0.0003921601101510299,0.592574561800201,0.005915155376744644,0.32866666666666666,0.00024976667959765404,0.00024976667959765404,0.15687500000000001,0.60475
vanilla,,,0,0,0,20,7,49,False,original,"[0, 1, 2, 3]",0.200972635495184,0.4392841678832416,0.032989042907940316,0.0010386461014766997,0.6648529862853613,0.005872638484518726,0.3385,0.00011169294289112423,0.00011169294289112423,0.13,0.6212500000000001
vanilla,,,0,0,0,20,8,50,False,original,"[0, 1, 2, 3]",0.16143554121487472,0.27275565781980154,0.008885736899157443,0.0002037899867129976,0.5604589444311859,0.005495131223378196,0.2743333333333333,0.0002811349729704195,0.0002811349729704195,0.103375,0.56025
vanilla,,,0,0,0,20,9,51,False,original,"[0, 1, 2, 3]",0.15795123653516108,0.3253110580049579,0.003476879211309803,0.00039560962493445797,0.5651971409878028,0.005713696814431994,0.2605833333333334,0.00012897190128954416,0.00012897190128954416,0.049,0.6045
